Time (sec),filt465,filt405
174.2104167,137.5059922,52.67195109
174.2733312,136.0739121,53.00448175
174.3362457,135.4125228,53.27867362
174.3991604,135.0398686,53.29758303
174.4620749,134.2181013,53.09808076
174.5249894,132.8669156,52.92231518
174.5879039,131.7101929,52.90492662
174.6508186,131.6885931,52.8223965
174.7137331,132.5105652,52.57464784
174.7766476,132.932354,52.3705451
174.8395621,132.6967361,52.35750768
174.9024768,133.460449,52.55025239
174.9653913,136.7217183,52.7630676
175.028306,142.055244,52.71543583
175.0912206,147.5467341,52.47874091
175.154135,152.0836585,52.38797231
175.2170495,155.0656396,52.54788447
175.2799642,154.84753,52.75376072
175.3428788,151.1166989,52.70226364
175.4057932,146.3167763,52.36771437
175.4687077,143.8254325,52.12924436
175.5316224,145.2575701,52.18687724
175.594537,148.7297375,52.40294248
175.6574516,150.3427927,52.60763412
175.7203662,148.2657818,52.69235501
175.7832806,144.2142656,52.70243723
175.8461952,141.1987743,52.70715795
175.9091098,141.2858406,52.72014769
175.9720244,145.7285828,52.72476194
176.0349388,155.1632511,52.68296561
176.0978534,167.0968504,52.54891503
176.160768,175.9346094,52.36376578
176.2236826,177.1469296,52.22140499
176.286597,171.1303258,52.13132996
176.3495116,162.4697382,52.02998979
176.4124262,155.733791,51.97744915
176.4753408,152.6215164,52.03039452
176.5382555,152.9847282,52.09797696
176.60117,156.4261075,52.07809971
176.6640844,161.394346,51.99647572
176.726999,164.7352928,51.93776567
176.7899137,164.1960709,51.96832519
176.8528282,160.6592016,52.1068885
176.9157426,157.5076558,52.34412067
176.9786572,156.9248165,52.50219052
177.0415719,157.5968272,52.39247971
177.1044864,156.7023673,52.12372208
177.1674011,153.1158001,51.92927401
177.2303156,148.8361966,51.92244082
177.2932301,146.431397,52.01866579
177.3561446,145.803451,52.12431575
177.4190593,145.4116186,52.15890763
177.4819738,144.2861052,52.14836498
177.5448883,142.3668377,52.13811818
177.6078028,140.3157371,52.11190068
177.6707175,139.026201,52.09740004
